track_id,genre_top,split,subset
2,Hip-Hop,training,small
3,Hip-Hop,training,medium
5,Hip-Hop,training,small
10,Pop,training,small
20,,training,large
26,,training,large
30,,training,large
46,,training,large
48,,training,large
134,Hip-Hop,training,medium
135,Rock,training,large
136,Rock,training,medium
137,Experimental,training,large
138,Experimental,training,large
139,Folk,training,medium
140,Folk,training,small
141,Folk,training,small
142,Folk,training,large
144,Jazz,training,large
145,Jazz,training,large
146,Jazz,training,large
147,Jazz,training,large
148,Experimental,validation,small
149,Experimental,training,large
150,Experimental,training,large
151,Rock,training,large
152,Rock,training,large
153,Rock,training,large
154,Rock,training,large
155,Rock,training,large
156,Experimental,training,large
157,Experimental,training,large
158,Experimental,training,large
159,Experimental,training,large
160,Experimental,training,large
161,Experimental,training,large
162,Experimental,training,large
163,Experimental,training,large
164,Experimental,training,large
165,Experimental,training,large
166,Experimental,training,large
167,Experimental,training,large
168,Experimental,training,large
169,Rock,training,large
170,Rock,training,large
171,Rock,training,large
172,Rock,training,large
173,Rock,training,large
174,Rock,training,large
175,Rock,training,large
176,Rock,training,large
177,Rock,training,large
178,Rock,training,large
179,Rock,training,large
181,Rock,test,medium
182,Rock,test,small
183,Rock,test,large
184,Rock,test,large
185,,test,large
188,Folk,training,large
189,Folk,training,large
190,Folk,training,small
191,Folk,training,large
192,Folk,training,large
193,Folk,training,small
194,Folk,training,small
195,Folk,training,large
196,Folk,training,large
197,Folk,training,small
198,Folk,training,medium
199,Folk,training,large
200,Folk,training,small
201,Folk,training,large
202,Folk,training,large
203,Folk,training,small
204,Folk,training,small
205,Folk,training,large
206,Folk,training,large
207,Folk,training,small
208,Folk,training,medium
209,Folk,training,medium
210,Folk,training,small
211,Folk,training,small
212,Folk,training,small
213,Pop,training,small
226,Rock,training,large
228,Rock,training,large
236,,training,large
237,Jazz,training,medium
238,Jazz,training,large
246,,training,large
247,Rock,training,medium
248,,training,large
249,Rock,training,medium
250,,training,large
251,,training,large
252,Rock,training,large
253,,training,large
254,,training,large
255,Rock,training,small
256,Rock,training,small
257,Rock,training,medium
258,Rock,training,medium
273,Experimental,training,large
274,Experimental,training,large
275,Experimental,training,large
276,Experimental,training,large
277,Experimental,training,large
281,Experimental,training,large
282,Experimental,training,large
284,Experimental,training,large
285,Experimental,training,large
293,Experimental,training,large
294,Experimental,training,large
297,Experimental,training,large
300,Experimental,training,large
303,Rock,training,large
304,Rock,training,large
305,Rock,training,large
306,Rock,training,large
307,Rock,training,large
308,Rock,training,large
309,Rock,training,large
310,Rock,training,large
311,Rock,training,large
312,Rock,training,large
313,Rock,training,large
314,Rock,training,large
315,Rock,training,large
316,Rock,training,large
317,Rock,training,large
318,Rock,training,large
319,Rock,training,large
320,Rock,training,large
321,Rock,training,large
322,Rock,training,large
323,Rock,training,large
324,Rock,training,large
325,Rock,training,large
326,Rock,training,large
327,Rock,training,large
328,Rock,training,large
330,Rock,training,large
331,Rock,training,large
332,Rock,training,large
333,Rock,training,large
334,Rock,training,large
335,Rock,training,large
336,Rock,training,large
337,Rock,training,large
338,Rock,training,large
339,Rock,training,large
340,Rock,training,large
341,Rock,training,medium
342,Rock,training,large
343,Rock,training,medium
344,Rock,training,large
345,Rock,training,large
346,Rock,training,large
347,Rock,training,large
348,Rock,training,large
349,Rock,training,large
350,Rock,training,large
351,Rock,training,large
352,Rock,training,medium
353,Rock,training,large
354,Rock,training,large
355,Rock,training,large
356,Rock,training,large
357,Rock,training,large
358,Rock,training,large
359,Rock,training,large
360,Rock,training,large
361,Rock,training,large
362,Rock,training,large
363,Rock,training,large
364,Rock,training,large
365,Rock,training,large
366,Rock,training,large
367,Rock,training,large
368,Rock,training,small
369,Rock,training,medium
370,Rock,training,large
371,Rock,training,large
384,Electronic,training,large
385,Electronic,training,large
386,Electronic,training,large
387,Electronic,training,large
393,Rock,training,large
394,Rock,training,large
395,Rock,training,large
396,Electronic,training,large
397,Electronic,training,medium
398,Electronic,training,medium
399,Electronic,training,medium
400,Electronic,training,medium
401,Electronic,training,large
402,Electronic,training,large
403,Electronic,training,large
404,Electronic,training,large
405,Electronic,training,medium
406,Electronic,training,large
407,Electronic,training,large
408,Electronic,training,large
410,Electronic,training,large
411,Electronic,training,large
412,Electronic,training,large
414,Electronic,training,medium
416,Electronic,training,large
417,Experimental,training,large
418,,training,large
419,Experimental,training,large
420,,training,large
421,Experimental,training,large
422,,training,large
423,,training,large
424,Experimental,training,small
425,Experimental,training,medium
426,Experimental,training,large
427,Experimental,training,large
428,Experimental,training,large
429,Experimental,training,large
430,Experimental,training,large
431,Experimental,training,large
432,Experimental,training,large
433,Experimental,training,large
434,Experimental,training,large
435,Experimental,training,large
436,Experimental,training,large
437,Experimental,training,large
438,Experimental,training,large
439,Experimental,training,large
440,,training,large
441,,training,large
442,,training,large
443,,training,large
444,,training,large
445,,training,large
446,,training,large
